file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\test\java\org\apache\flink\cdc\connectors\base\experimental\utils\MySqlTypeUtils.java,org.apache.flink.cdc.connectors.base.experimental.utils.MySqlTypeUtils,class,3,6,3,3,29,1,0,25,1,0.7051282,NaN,NaN,2,2,1,1,0,0,1,0,0,0,39,39,0,39,0,0,39,0,2,97,19,0,1,0,0,40,6,41,0,41,1,0,0,0,56,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-e2e-tests\flink-cdc-source-e2e-tests\src\test\java\org\apache\flink\cdc\connectors\tests\OceanBaseE2eITCase.java,org.apache.flink.cdc.connectors.tests.OceanBaseE2eITCase,class,10,11,1,10,9,3,0,49,4,0.83928573,0.0,0.0,4,0,2,1,1,0,3,0,0,0,14,14,2,12,0,0,14,0,19,68,2,1,0,3,0,111,7,26,10,28,2,0,0,2,133,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\utils\hooks\SnapshotPhaseHook.java,org.apache.flink.cdc.connectors.mysql.source.utils.hooks.SnapshotPhaseHook,interface,2,4,2,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-doris\src\main\java\org\apache\flink\cdc\connectors\doris\sink\DorisEventSerializer.java,org.apache.flink.cdc.connectors.doris.sink.DorisEventSerializer,class,18,20,2,18,14,1,0,30,2,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,5,2,3,2,0,0,3,0,6,62,4,1,1,0,1,7,1,17,3,16,3,0,0,0,75,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-pipeline-connectors\flink-cdc-pipeline-connector-mysql\src\main\java\org\apache\flink\cdc\connectors\mysql\utils\MySqlSchemaUtils.java,org.apache.flink.cdc.connectors.mysql.utils.MySqlSchemaUtils,class,18,21,3,18,17,1,0,36,43,0.8,0.0,0.0,10,9,9,1,0,0,9,0,0,0,1,1,0,1,0,0,1,0,11,74,9,3,1,4,0,10,2,11,4,13,2,0,0,2,66,1,4
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-tidb-cdc\src\main\java\org\apache\flink\cdc\connectors\tidb\table\TiKVAppendMetadataCollector.java,org.apache.flink.cdc.connectors.tidb.table.TiKVAppendMetadataCollector,class,6,7,1,6,4,1,0,4,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,2,2,0,0,2,0,0,20,0,1,0,0,0,0,2,6,0,8,1,0,0,0,34,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\source\assigners\MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,class,18,22,4,18,33,1,0,47,0,0.7254903,0.0,0.0,17,0,15,2,0,0,15,0,0,0,6,2,0,6,0,0,5,0,12,112,12,2,3,0,0,1,0,21,0,15,2,0,0,0,91,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\main\java\org\apache\flink\cdc\connectors\base\options\StartupOptions.java,org.apache.flink.cdc.connectors.base.options.StartupOptions,class,2,21,19,2,26,1,0,4,23,0.690909,0.0,0.0,11,6,10,1,0,0,10,0,0,0,5,1,4,1,0,0,5,0,4,66,12,0,9,0,0,4,1,6,1,6,1,0,0,0,106,17,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\main\java\org\apache\flink\cdc\connectors\base\source\meta\offset\OffsetDeserializerSerializer.java,org.apache.flink.cdc.connectors.base.source.meta.offset.OffsetDeserializerSerializer$OffsetDeserializer,innerclass,4,4,0,4,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,0,0,3,0,3,0,0,0,0,13,0,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\source\fetch\Db2SourceFetchTaskContext.java,org.apache.flink.cdc.connectors.db2.source.fetch.Db2SourceFetchTaskContext$Db2EventMetadataProvider,innerclass,4,4,0,4,10,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,33,9,0,7,0,0,0,0,4,0,4,1,0,0,0,27,9,0
