file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\oodassignment2\projects\google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\http\UrlFetchResponse.java,com.google.api.client.extensions.appengine.http.UrlFetchResponse,class,3,4,1,3,19,2,0,10,35,0.78787875,0.0,0.0,11,0,10,0,0,1,11,0,0,0,6,0,0,6,0,0,3,0,1,63,10,1,3,1,0,3,0,9,0,9,4,0,0,0,40,16,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\main\java\com\google\api\client\util\ByteArrayStreamingContent.java,com.google.api.client.util.ByteArrayStreamingContent,class,3,9,6,3,6,1,0,4,0,0.11111111,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,2,18,0,0,0,0,0,0,3,3,1,3,0,0,0,0,37,1,0
D:\oodassignment2\projects\google-http-java-client\google-http-client-findbugs\google-http-client-findbugs-test\src\main\java\com\google\api\client\findbugs\test\BetaClass2.java,com.google.api.client.findbugs.test.BetaClass2,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\main\java\com\google\api\client\util\Joiner.java,com.google.api.client.util.Joiner,class,2,3,1,2,3,1,0,2,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,43,17,0
D:\oodassignment2\projects\google-http-java-client\google-http-client-xml\src\test\java\com\google\api\client\xml\XmlListTest.java,com.google.api.client.xml.XmlListTest$ArrayTypeInteger,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,10,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\test\java\com\google\api\client\http\HttpResponseExceptionTest.java,com.google.api.client.http.HttpResponseExceptionTest$Anonymous21$Anonymous22,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,1,0,1,0,0,0,0,15,-1,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\main\java\com\google\api\client\testing\util\MockSleeper.java,com.google.api.client.testing.util.MockSleeper,class,2,6,4,2,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,2,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,1,0,2,0,0,0,0,32,1,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\test\java\com\google\api\client\http\UrlEncodedParserTest.java,com.google.api.client.http.UrlEncodedParserTest$E,enum,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\test\java\com\google\api\client\http\HttpHeadersTest.java,com.google.api.client.http.HttpHeadersTest$V,innerclass,2,2,0,2,0,4,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,9,0
D:\oodassignment2\projects\google-http-java-client\google-http-client\src\test\java\com\google\api\client\http\UrlEncodedParserTest.java,com.google.api.client.http.UrlEncodedParserTest,class,9,10,1,9,9,6,0,16,34,0.7777778,0.0,0.0,9,0,8,1,0,0,8,0,0,0,1,1,0,0,0,1,1,0,23,112,0,0,0,0,0,48,0,27,0,14,0,0,4,0,74,1,0
